"No.","Time","Source","Destination","Protocol","Length","Info"
"106","28.115016715","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=518 Ack=2417 Win=63104 Len=0 TSval=3276253752 TSecr=4006136672"
"107","28.115020058","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","590","Application Data"
"108","28.115040659","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=518 Ack=2921 Win=62848 Len=0 TSval=3276253752 TSecr=4006136672"
"109","28.119308623","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TLSv1.3","150","Change Cipher Spec, Application Data"
"110","28.119495809","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TLSv1.3","178","Application Data"
"111","28.119710389","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TLSv1.3","1075","Application Data"
"112","28.172495829","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TCP","86","443  >  57560 [ACK] Seq=2921 Ack=582 Win=66816 Len=0 TSval=4006136729 TSecr=3276253756"
"113","28.172615576","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TCP","86","443  >  57560 [ACK] Seq=2921 Ack=674 Win=66816 Len=0 TSval=4006136729 TSecr=3276253756"
"114","28.188749765","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","666","Application Data, Application Data"
"115","28.188811026","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=1663 Ack=3501 Win=64256 Len=0 TSval=3276253825 TSecr=4006136729"
"116","28.188845361","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","117","Application Data"
"117","28.188883604","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=1663 Ack=3532 Win=64256 Len=0 TSval=3276253825 TSecr=4006136730"
